username,repo_name,stars,repo_url
fastlane,fastlane,36800,https://github.com/fastlane/fastlane
ray-project,ray,24900,https://github.com/ray-project/ray
capistrano,capistrano,12400,https://github.com/capistrano/capistrano
caprover,caprover,10200,https://github.com/caprover/caprover
deployphp,deployer,9800,https://github.com/deployphp/deployer
apex,up,8700,https://github.com/apex/up
dagger,dagger,8000,https://github.com/dagger/dagger
AppImage,AppImageKit,7800,https://github.com/AppImage/AppImageKit
chef,chef,7200,https://github.com/chef/chef
node-config,node-config,5900,https://github.com/node-config/node-config
StackStorm,st2,5500,https://github.com/StackStorm/st2
shipitjs,shipit,5300,https://github.com/shipitjs/shipit
gaia-pipeline,gaia,5000,https://github.com/gaia-pipeline/gaia
rundeck,rundeck,4900,https://github.com/rundeck/rundeck
gitname,react-gh-pages,4900,https://github.com/gitname/react-gh-pages
meefik,linuxdeploy,4500,https://github.com/meefik/linuxdeploy
vmware-tanzu,kubeapps,4500,https://github.com/vmware-tanzu/kubeapps
mina-deploy,mina,4300,https://github.com/mina-deploy/mina
PaddlePaddle,PaddleX,4200,https://github.com/PaddlePaddle/PaddleX
Triple-T,gradle-play-publisher,3900,https://github.com/Triple-T/gradle-play-publisher
