username,repo_name,stars,repo_url
netdata,netdata,62500,https://github.com/netdata/netdata
grafana,grafana,54700,https://github.com/grafana/grafana
prometheus,prometheus,47400,https://github.com/prometheus/prometheus
Unitech,pm2,38800,https://github.com/Unitech/pm2
huginn,huginn,38000,https://github.com/huginn/huginn
getsentry,sentry,33800,https://github.com/getsentry/sentry
louislam,uptime-kuma,31600,https://github.com/louislam/uptime-kuma
influxdata,influxdb,25200,https://github.com/influxdata/influxdb
nicolargo,glances,22500,https://github.com/nicolargo/glances
taosdata,TDengine,21100,https://github.com/taosdata/TDengine
osquery,osquery,20200,https://github.com/osquery/osquery
didi,DoKit,19400,https://github.com/didi/DoKit
dianping,cat,17600,https://github.com/dianping/cat
allinurl,goaccess,16000,https://github.com/allinurl/goaccess
cilium,cilium,14800,https://github.com/cilium/cilium
bcicen,ctop,14100,https://github.com/bcicen/ctop
bettercap,bettercap,13800,https://github.com/bettercap/bettercap
influxdata,telegraf,12700,https://github.com/influxdata/telegraf
pinpoint-apm,pinpoint,12700,https://github.com/pinpoint-apm/pinpoint
SigNoz,signoz,12300,https://github.com/SigNoz/signoz
