username,repo_name,stars,repo_url
phoenixframework,phoenix,19400,https://github.com/phoenixframework/phoenix
asdf-vm,asdf,17200,https://github.com/asdf-vm/asdf
plausible,analytics,14400,https://github.com/plausible/analytics
benawad,dogehouse,9200,https://github.com/benawad/dogehouse
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
oldratlee,translations,6500,https://github.com/oldratlee/translations
supabase,realtime,5800,https://github.com/supabase/realtime
papercups-io,papercups,5200,https://github.com/papercups-io/papercups
rrrene,credo,4600,https://github.com/rrrene/credo
christopheradams,elixir_style_guide,4200,https://github.com/christopheradams/elixir_style_guide
absinthe-graphql,absinthe,4100,https://github.com/absinthe-graphql/absinthe
firezone,firezone,3900,https://github.com/firezone/firezone
rusterlium,rustler,3700,https://github.com/rusterlium/rustler
livebook-dev,livebook,3400,https://github.com/livebook-dev/livebook
elixirschool,elixirschool,3400,https://github.com/elixirschool/elixirschool
ueberauth,guardian,3300,https://github.com/ueberauth/guardian
dependabot,dependabot-core,3300,https://github.com/dependabot/dependabot-core
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
thechangelog,changelog.com,2500,https://github.com/thechangelog/changelog.com
ergo-services,ergo,2400,https://github.com/ergo-services/ergo
