username,repo_name,stars,repo_url
koalaman,shellcheck,31800,https://github.com/koalaman/shellcheck
hasura,graphql-engine,29500,https://github.com/hasura/graphql-engine
jgm,pandoc,28400,https://github.com/jgm/pandoc
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
compiler-explorer,compiler-explorer,12900,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,10100,https://github.com/hmemcpy/milewski-ctfp-pdf
lk-geimfari,awesomo,8900,https://github.com/lk-geimfari/awesomo
hadolint,hadolint,8400,https://github.com/hadolint/hadolint
purescript,purescript,8100,https://github.com/purescript/purescript
liuxinyu95,AlgoXY,5600,https://github.com/liuxinyu95/AlgoXY
unisonweb,unison,5100,https://github.com/unisonweb/unison
digitallyinduced,ihp,3900,https://github.com/digitallyinduced/ihp
input-output-hk,cardano-sl,3800,https://github.com/input-output-hk/cardano-sl
xmonad,xmonad,2900,https://github.com/xmonad/xmonad
simplex-chat,simplex-chat,2800,https://github.com/simplex-chat/simplex-chat
typelead,eta,2600,https://github.com/typelead/eta
koka-lang,koka,2500,https://github.com/koka-lang/koka
wireapp,wire-server,2500,https://github.com/wireapp/wire-server
wasp-lang,wasp,2500,https://github.com/wasp-lang/wasp
sdiehl,wiwinwlh,2500,https://github.com/sdiehl/wiwinwlh
