username,repo_name,stars,repo_url
hoppscotch,hoppscotch,50700,https://github.com/hoppscotch/hoppscotch
psf,requests,49300,https://github.com/psf/requests
caddyserver,caddy,46600,https://github.com/caddyserver/caddy
ngosang,trackerslist,38800,https://github.com/ngosang/trackerslist
mitmproxy,mitmproxy,30600,https://github.com/mitmproxy/mitmproxy
aria2,aria2,29800,https://github.com/aria2/aria2
curl,curl,29100,https://github.com/curl/curl
httpie,httpie,27100,https://github.com/httpie/httpie
dromara,hutool,25800,https://github.com/dromara/hutool
ehang-io,nps,25200,https://github.com/ehang-io/nps
vapor,vapor,22700,https://github.com/vapor/vapor
tsenart,vegeta,21000,https://github.com/tsenart/vegeta
locustio,locust,21000,https://github.com/locustio/locust
PostgREST,postgrest,20300,https://github.com/PostgREST/postgrest
go-kratos,kratos,20300,https://github.com/go-kratos/kratos
gorilla,mux,18100,https://github.com/gorilla/mux
uNetworking,uWebSockets,15300,https://github.com/uNetworking/uWebSockets
julienschmidt,httprouter,15100,https://github.com/julienschmidt/httprouter
hapijs,hapi,14200,https://github.com/hapijs/hapi
go-chi,chi,13800,https://github.com/go-chi/chi
